d,cpu_time_us,package_energy,core_energy
1,6601,1564144,20079
1,6619,1346015,14037
1,7037,1249814,626
1,6851,1256527,198
1,6954,1260098,687
1,7314,1244000,1068
1,7104,1271617,396
1,6841,1262447,152
1,7040,1263408,244
1,7517,1285624,396
1,6754,1252728,92
1,7077,1276866,992
1,7222,1277369,519
1,7097,1271724,76
1,6666,1262447,274
1,7149,1259701,1572
1,7431,1381856,14663
1,6996,1297647,8484
1,7190,1282267,7141
1,5523,1351523,17852
1,5600,1570537,29860
1,5417,1888101,54731
1,5536,1698185,34926
1,5526,1870326,45454
1,6411,1502394,25420
1,5004,1362478,27556
1,5344,1281184,8285
1,7055,1256252,7431
1,5908,1235425,503
1,6825,1257900,351
2,5398,1160966,1403
2,5636,1432665,29616
2,5145,1176850,397
2,5217,1223768,12405
2,2713,1718753,40831
2,3404,1519498,28563
2,4397,1187606,427
2,5483,1364111,20308
2,3107,1191878,1999
2,5429,1167206,244
2,5540,1155504,610
2,5498,1179077,168
2,5823,1451143,33095
2,3305,1366965,21208
2,3695,1372838,21224
2,3475,1181305,5538
2,5344,1313668,19179
2,4173,1245724,11321
2,4883,1159333,1434
2,5554,1173783,305
2,5389,1158402,107
2,4196,1300286,12024
2,3283,1431444,29753
2,3862,1251065,11261
2,4444,1322228,18050
2,3362,1241437,10971
2,4154,1393193,29005
2,3758,1173569,275
2,5487,1167008,458
2,4276,1395879,18904
3,3451,1506651,30928
3,2085,1493377,31508
3,2249,1465958,31157
3,1902,1693958,49390
3,2035,1525083,32286
3,2591,2032686,88054
3,2872,1585352,23132
3,2785,1207487,9918
3,3510,1343497,24077
3,2365,2128048,81066
3,2488,1623283,42981
3,2480,1297342,9780
3,2601,1986012,105769
3,2388,2146862,115381
3,2286,1496185,35307
3,2188,1539974,46263
3,2049,1578272,45850
3,2377,1248700,4120
3,3652,1137529,3143
3,2862,1391682,33415
3,3574,1396351,23024
3,2331,1329246,27144
3,1837,1237439,9338
3,3503,1212477,10681
3,2496,1273174,15975
3,3750,1203505,9551
3,2908,1149415,2533
3,3011,1161958,1648
3,3035,1153993,2960
3,2988,1238538,19347
4,2881,1112064,4929
4,2404,1041603,2044
4,2814,1061377,2060
4,2862,1051704,2228
4,2975,1098988,2899
4,2364,1350379,4501
4,2845,1047309,321
4,2863,1047874,2258
4,2873,1067435,2213
4,2871,1082646,962
4,3050,1071920,275
4,2943,1050971,168
4,2872,1061164,1434
4,3009,1046241,473
4,2887,1035804,321
4,2787,1122744,6759
4,2156,1185272,7141
4,2803,1064886,2334
4,1878,1301080,12054
4,2280,1104252,2655
4,2714,1064840,840
4,2891,1137178,2350
4,2875,1048789,1754
4,2828,1054892,1053
4,2685,1078817,2747
4,3111,1099537,2655
4,2533,1295404,53083
4,2842,1073278,2472
4,2523,1426562,9109
4,1965,1087330,2670
5,1619,1399327,6591
5,2464,1021813,2594
5,2147,1208540,5722
5,3127,994669,610
5,2602,1250744,5722
5,2049,1191742,7537
5,2350,1373190,28212
5,1428,1028268,382
5,2781,1232679,48764
5,2898,978098,152
5,2884,1159791,3082
5,1991,1043067,1908
5,2729,970852,1266
5,3055,1301996,397
